Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
2025CNCL,2025,Cellphone (n=30),Semi-rural,1.60E+05,1.95E+02,BDL,BDL,BDL,BDL,5.2,2.29,BDL,BDL,BDL,BDL
2027CNCL,2027,Cellphone (n=30),Semi-rural,4.96E+04,BDL,BDL,BDL,BDL,BDL,4.7,BDL,BDL,BDL,BDL,BDL
2028CNCL,2028,Cellphone (n=30),Semi-rural,1.92E+03,BDL,BDL,BDL,BDL,BDL,3.28,BDL,BDL,BDL,BDL,BDL
2029CNCL,2029,Cellphone (n=30),Semi-rural,1.41E+04,BDL,BDL,BDL,BDL,BDL,4.15,BDL,BDL,BDL,BDL,BDL
2030CNCL,2030,Cellphone (n=30),Semi-rural,1.08E+03,BDL,BDL,BDL,BDL,BDL,3.03,BDL,BDL,BDL,BDL,BDL
2031CNCL,2031,Cellphone (n=30),Semi-rural,7.51E+03,BDL,BDL,1.67E+02,BDL,BDL,3.88,BDL,BDL,2.22,BDL,BDL
2032CNCL,2032,Cellphone (n=30),Semi-rural,3.92E+03,BDL,BDL,BDL,BDL,BDL,3.59,BDL,BDL,BDL,BDL,BDL
2034CNCL,2034,Cellphone (n=30),Semi-rural,3.86E+03,BDL,BDL,BDL,BDL,BDL,3.59,BDL,BDL,BDL,BDL,BDL
2035CNCL,2035,Cellphone (n=30),Semi-rural,2.11E+03,BDL,BDL,BDL,BDL,BDL,3.32,BDL,BDL,BDL,BDL,BDL
3001CWCL,3001,Cellphone (n=30),Rural,1.51E+04,BDL,BDL,BDL,BDL,BDL,4.18,BDL,BDL,BDL,BDL,BDL
3008CNCL,3008,Cellphone (n=30),Rural,6.97E+04,BDL,BDL,BDL,BDL,BDL,4.84,BDL,BDL,BDL,BDL,BDL
3009CNCL,3009,Cellphone (n=30),Rural,6.25E+03,BDL,BDL,BDL,BDL,BDL,3.8,BDL,BDL,BDL,BDL,BDL
3010CNCL,3010,Cellphone (n=30),Rural,2.21E+03,BDL,BDL,BDL,BDL,BDL,3.34,BDL,BDL,BDL,BDL,BDL
4004CNCL,4004,Cellphone (n=30),Rural,8.85E+02,BDL,BDL,BDL,BDL,BDL,2.95,BDL,BDL,BDL,BDL,BDL
5001CWCL,5001,Cellphone (n=30),Rural,4.71E+04,BDL,BDL,BDL,BDL,BDL,4.67,BDL,BDL,BDL,BDL,BDL
9003CWCL,9003,Cellphone (n=30),Rural,7.33E+03,BDL,BDL,BDL,BDL,BDL,3.87,BDL,BDL,BDL,BDL,BDL
1001CWHC,1001,Child hands (n=31),Urban,2.54E+06,BDL,BDL,BDL,3.05E+02,BDL,6.41,BDL,BDL,BDL,2.48,BDL
