Sample_Code,Household,Sample_Type,Site,GenBac,HF183,Rum2Bac,Pig2Bac,DG37,GFD,Log10_GenBac,Log10_HF183,Log10_Rum2Bac,Log10_Pig2Bac,Log10_DG37,Log10_GFD
1013CWFD,1013,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1015CWFD,1015,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1017CWFD,1017,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1019CWFD,1019,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1020CNFD,1020,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1021CNFD,1021,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1022CNFD,1022,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1023CNFD,1023,Food-(n=57),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2001CWFD,2001,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2004CWFD,2004,Food-(n=57),Semi-rural,1.02E+05,BDL,BDL,BDL,BDL,BDL,5.01,BDL,BDL,BDL,BDL,BDL
2007CWFD,2007,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2008CWFD,2008,Food-(n=57),Semi-rural,1.60E+05,BDL,BDL,BDL,BDL,BDL,5.21,BDL,BDL,BDL,BDL,BDL
2012CWFD,2012,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2013CWFD,2013,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2015CWFD,2015,Food-(n=57),Semi-rural,6.28E+06,BDL,BDL,BDL,BDL,BDL,6.8,BDL,BDL,BDL,BDL,BDL
2016CWFD,2016,Food-(n=57),Semi-rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
2018CWFD,2018,Food-(n=57),Semi-rural,5.54E+05,BDL,BDL,BDL,BDL,BDL,5.74,BDL,BDL,BDL,BDL,BDL
2021CNFD,2021,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2022CNFD,2022,Food-(n=57),Semi-rural,4.94E+05,BDL,BDL,BDL,BDL,BDL,5.69,BDL,BDL,BDL,BDL,BDL
2023CNFD,2023,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2025CNFD,2025,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2026CWFD,2026,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2027CNFD,2027,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2029CNFD,2029,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2030CNFD,2030,Food-(n=57),Semi-rural,1.47E+06,BDL,BDL,BDL,BDL,BDL,6.17,BDL,BDL,BDL,BDL,BDL
2031CNFD,2031,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2033CNFD,2033,Food-(n=57),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2034CNFD,2034,Food-(n=57),Semi-rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
2035CNFD,2035,Food-(n=57),Semi-rural,2.05E+06,BDL,BDL,BDL,BDL,BDL,6.31,BDL,BDL,BDL,BDL,BDL
3001CWFD,3001,Food-(n=57),Rural,9.50E+05,BDL,BDL,BDL,BDL,BDL,5.98,BDL,BDL,BDL,BDL,BDL
3003CWFD,3003,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3005CWFD,3005,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3007CWFD,3007,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3008CNFD,3008,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3009CNFD,3009,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3010CNFD,3010,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4002CWFD,4002,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4004CNFD,4004,Food-(n=57),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
4005CNFD,4005,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4006CNFD,4006,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5001CWFD,5001,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5002CWFD,5002,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7002CWFD,7002,Food-(n=57),Rural,1.37E+05,BDL,BDL,BDL,BDL,BDL,5.14,BDL,BDL,BDL,BDL,BDL
7003CNFD,7003,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7004CNFD,7004,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9001CNFD,9001,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9002CNFD,9002,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9003CWFD,9003,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9005CWFD,9005,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9006CWFD,9006,Food-(n=57),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1001CWFP,1001,Food-prep surface (n=58),Urban,2.48E+03,BDL,BDL,BDL,BDL,BDL,3.39,BDL,BDL,BDL,BDL,BDL
1002CWFP,1002,Food-prep surface (n=58),Urban,1.95E+04,DNQ,BDL,BDL,BDL,BDL,4.29,DNQ,BDL,BDL,BDL,BDL
1006CWFP,1006,Food-prep surface (n=58),Urban,2.84E+03,BDL,BDL,BDL,BDL,BDL,3.45,BDL,BDL,BDL,BDL,BDL
1007CWFP,1007,Food-prep surface (n=58),Urban,6.60E+03,BDL,BDL,BDL,BDL,BDL,3.82,BDL,BDL,BDL,BDL,BDL
1010CWFP,1010,Food-prep surface (n=58),Urban,5.05E+02,BDL,BDL,BDL,BDL,BDL,2.7,BDL,BDL,BDL,BDL,BDL
1011CWFP,1011,Food-prep surface (n=58),Urban,1.36E+05,BDL,BDL,BDL,BDL,BDL,5.13,BDL,BDL,BDL,BDL,BDL
1012CWFP,1012,Food-prep surface (n=58),Urban,6.00E+03,BDL,BDL,BDL,BDL,BDL,3.78,BDL,BDL,BDL,BDL,BDL
1013CWFP,1013,Food-prep surface (n=58),Urban,1.32E+03,BDL,BDL,BDL,BDL,BDL,3.12,BDL,BDL,BDL,BDL,BDL
1015CWFP,1015,Food-prep surface (n=58),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1017CWFP,1017,Food-prep surface (n=58),Urban,2.95E+04,DNQ,BDL,BDL,BDL,BDL,4.47,BDL,BDL,BDL,BDL,BDL
1019CWFP,1019,Food-prep surface (n=58),Urban,6.62E+03,BDL,BDL,BDL,BDL,BDL,3.82,BDL,BDL,BDL,BDL,BDL
1020CNFP,1020,Food-prep surface (n=58),Urban,7.48E+05,BDL,BDL,BDL,BDL,BDL,5.87,BDL,BDL,BDL,BDL,BDL
1021CNFP,1021,Food-prep surface (n=58),Urban,5.62E+02,BDL,BDL,BDL,BDL,BDL,2.75,BDL,BDL,BDL,BDL,BDL
1022CNFP,1022,Food-prep surface (n=58),Urban,4.80E+03,BDL,BDL,BDL,BDL,BDL,3.68,BDL,BDL,BDL,BDL,BDL
1023CNFP,1023,Food-prep surface (n=58),Urban,1.51E+04,BDL,BDL,BDL,BDL,BDL,4.18,BDL,BDL,BDL,BDL,BDL
2001CWFP,2001,Food-prep surface (n=58),Semi-rural,3.58E+04,BDL,BDL,BDL,BDL,BDL,4.55,BDL,BDL,BDL,BDL,BDL
2004CWFP,2004,Food-prep surface (n=58),Semi-rural,3.68E+03,BDL,BDL,BDL,BDL,BDL,3.57,BDL,BDL,BDL,BDL,BDL
2007CWFP,2007,Food-prep surface (n=58),Semi-rural,6.76E+03,BDL,BDL,BDL,BDL,BDL,3.83,BDL,BDL,BDL,BDL,BDL
2008CWFP,2008,Food-prep surface (n=58),Semi-rural,2.96E+07,BDL,BDL,BDL,BDL,BDL,7.47,BDL,BDL,BDL,BDL,BDL
2012CWFP,2012,Food-prep surface (n=58),Semi-rural,2.44E+05,5.44E+02,BDL,BDL,BDL,BDL,5.39,2.74,BDL,BDL,BDL,BDL
2013CWFP,2013,Food-prep surface (n=58),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2015CWFP,2015,Food-prep surface (n=58),Semi-rural,3.80E+03,BDL,BDL,BDL,BDL,BDL,3.58,BDL,BDL,BDL,BDL,BDL
2016CWFP,2016,Food-prep surface (n=58),Semi-rural,5.33E+04,BDL,BDL,BDL,BDL,BDL,4.73,BDL,BDL,BDL,BDL,BDL
2018CWFP,2018,Food-prep surface (n=58),Semi-rural,1.73E+05,BDL,BDL,BDL,BDL,BDL,5.24,BDL,BDL,BDL,BDL,BDL
2021CNFP,2021,Food-prep surface (n=58),Semi-rural,3.26E+03,BDL,BDL,BDL,BDL,BDL,3.51,BDL,BDL,BDL,BDL,BDL
2022CNFP,2022,Food-prep surface (n=58),Semi-rural,1.18E+05,BDL,BDL,BDL,BDL,BDL,5.07,BDL,BDL,BDL,BDL,BDL
2023CNFP,2023,Food-prep surface (n=58),Semi-rural,1.25E+05,BDL,BDL,BDL,BDL,BDL,5.1,BDL,BDL,BDL,BDL,BDL
2025CNFP,2025,Food-prep surface (n=58),Semi-rural,1.97E+05,BDL,BDL,BDL,BDL,BDL,5.3,BDL,BDL,BDL,BDL,BDL
2026CWFP,2026,Food-prep surface (n=58),Semi-rural,2.92E+03,BDL,BDL,BDL,BDL,BDL,3.47,BDL,BDL,BDL,BDL,BDL
2027CNFP,2027,Food-prep surface (n=58),Semi-rural,8.91E+02,BDL,BDL,BDL,BDL,BDL,2.95,BDL,BDL,BDL,BDL,BDL
2028CNFP,2028,Food-prep surface (n=58),Semi-rural,8.40E+04,BDL,BDL,BDL,BDL,BDL,4.92,BDL,BDL,BDL,BDL,BDL
2029CNFP,2029,Food-prep surface (n=58),Semi-rural,2.11E+05,BDL,BDL,1.97E+02,BDL,1.99E+02,5.32,BDL,BDL,2.3,BDL,2.3
2030CNFP,2030,Food-prep surface (n=58),Semi-rural,1.22E+04,BDL,BDL,BDL,BDL,BDL,4.09,BDL,BDL,BDL,BDL,BDL
2031CNFP,2031,Food-prep surface (n=58),Semi-rural,4.25E+05,2.46E+02,BDL,BDL,BDL,BDL,5.63,2.39,BDL,BDL,BDL,BDL
2032CNFP,2032,Food-prep surface (n=58),Semi-rural,1.39E+04,BDL,BDL,BDL,BDL,BDL,4.14,BDL,BDL,BDL,BDL,BDL
2033CNFP,2033,Food-prep surface (n=58),Semi-rural,1.78E+05,BDL,BDL,BDL,BDL,BDL,5.25,BDL,BDL,BDL,BDL,BDL
2034CNFP,2034,Food-prep surface (n=58),Semi-rural,2.78E+04,2.38E+03,BDL,BDL,BDL,BDL,4.44,3.38,BDL,BDL,BDL,BDL
2035CNFP,2035,Food-prep surface (n=58),Semi-rural,4.33E+06,BDL,BDL,BDL,BDL,BDL,6.64,BDL,BDL,BDL,BDL,BDL
3003CWFP,3003,Food-prep surface (n=58),Rural,1.49E+04,BDL,BDL,BDL,BDL,BDL,4.17,BDL,BDL,BDL,BDL,BDL
3005CWFP,3005,Food-prep surface (n=58),Rural,1.46E+05,BDL,BDL,BDL,BDL,BDL,5.16,BDL,BDL,BDL,BDL,BDL
3007CWFP,3007,Food-prep surface (n=58),Rural,2.79E+04,BDL,BDL,BDL,BDL,BDL,4.45,BDL,BDL,BDL,BDL,BDL
3008CNFP,3008,Food-prep surface (n=58),Rural,3.01E+03,BDL,BDL,BDL,BDL,BDL,3.48,BDL,BDL,BDL,BDL,BDL
3009CNFP,3009,Food-prep surface (n=58),Rural,5.86E+04,BDL,BDL,4.76E+02,BDL,BDL,4.77,BDL,BDL,2.68,BDL,BDL
3010CNFP,3010,Food-prep surface (n=58),Rural,4.38E+03,BDL,BDL,BDL,BDL,BDL,3.64,BDL,BDL,BDL,BDL,BDL
4002CWFP,4002,Food-prep surface (n=58),Rural,1.18E+04,BDL,BDL,BDL,BDL,BDL,4.07,BDL,BDL,BDL,BDL,BDL
4004CNFP,4004,Food-prep surface (n=58),Rural,3.45E+03,BDL,BDL,BDL,BDL,BDL,3.54,BDL,BDL,BDL,BDL,BDL
4005CNFP,4005,Food-prep surface (n=58),Rural,6.92E+03,BDL,BDL,BDL,BDL,BDL,3.84,BDL,BDL,BDL,BDL,BDL
4006CNFP,4006,Food-prep surface (n=58),Rural,8.16E+05,6.79E+02,BDL,BDL,BDL,BDL,5.91,2.83,BDL,BDL,BDL,BDL
5001CWFP,5001,Food-prep surface (n=58),Rural,4.40E+03,BDL,BDL,BDL,BDL,BDL,3.64,BDL,BDL,BDL,BDL,BDL
5002CWFP,5002,Food-prep surface (n=58),Rural,1.14E+04,BDL,BDL,BDL,BDL,BDL,4.06,BDL,BDL,BDL,BDL,BDL
7002CWFP,7002,Food-prep surface (n=58),Rural,5.13E+03,BDL,BDL,BDL,BDL,BDL,3.71,BDL,BDL,BDL,BDL,BDL
7003CNFP,7003,Food-prep surface (n=58),Rural,7.78E+03,BDL,BDL,BDL,BDL,BDL,3.89,BDL,BDL,BDL,BDL,BDL
7004CNFP,7004,Food-prep surface (n=58),Rural,1.47E+03,BDL,BDL,BDL,BDL,BDL,3.17,BDL,BDL,BDL,BDL,BDL
9001CNFP,9001,Food-prep surface (n=58),Rural,1.33E+03,BDL,BDL,BDL,BDL,BDL,3.12,BDL,BDL,BDL,BDL,BDL
9002CNFP,9002,Food-prep surface (n=58),Rural,3.20E+03,BDL,BDL,BDL,BDL,BDL,3.51,BDL,BDL,BDL,BDL,BDL
9003CWFP,9003,Food-prep surface (n=58),Rural,4.48E+03,BDL,BDL,BDL,BDL,BDL,3.65,BDL,BDL,BDL,BDL,BDL
9005CWFP,9005,Food-prep surface (n=58),Rural,1.64E+04,BDL,BDL,BDL,BDL,BDL,4.22,BDL,BDL,BDL,BDL,BDL
9006CWFP,9006,Food-prep surface (n=58),Rural,4.59E+03,BDL,BDL,BDL,BDL,BDL,3.66,BDL,BDL,BDL,BDL,BDL
2022CNKY,2022,House keys (n=19),Semi-rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
2023CNKY,2023,House keys (n=19),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2025CNKY,2025,House keys (n=19),Semi-rural,1.08E+03,BDL,BDL,BDL,BDL,BDL,3.03,BDL,BDL,BDL,BDL,BDL
2031CNKY,2031,House keys (n=19),Semi-rural,1.24E+04,BDL,BDL,BDL,BDL,BDL,4.09,BDL,BDL,BDL,BDL,BDL
2032CNKY,2032,House keys (n=19),Semi-rural,7.23E+02,BDL,BDL,BDL,BDL,BDL,2.86,BDL,BDL,BDL,BDL,BDL
2033CNKY,2033,House keys (n=19),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2034CNKY,2034,House keys (n=19),Semi-rural,2.28E+04,BDL,BDL,BDL,BDL,BDL,4.36,BDL,BDL,BDL,BDL,BDL
3008CNKY,3008,House keys (n=19),Rural,2.89E+03,BDL,BDL,BDL,BDL,BDL,3.46,BDL,BDL,BDL,BDL,BDL
3009CNKY,3009,House keys (n=19),Rural,5.26E+04,BDL,BDL,2.79E+03,BDL,BDL,4.72,BDL,BDL,3.45,BDL,BDL
3010CNKY,3010,House keys (n=19),Rural,2.16E+03,BDL,BDL,BDL,BDL,BDL,3.33,BDL,BDL,BDL,BDL,BDL
4004CNKY,4004,House keys (n=19),Rural,DNQ,BDL,BDL,BDL,BDL,BDL,DNQ,BDL,BDL,BDL,BDL,BDL
4005CNKY,4005,House keys (n=19),Rural,9.13E+02,BDL,BDL,BDL,BDL,BDL,2.96,BDL,BDL,BDL,BDL,BDL
4006CNKY,4006,House keys (n=19),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5001CWKY,5001,House keys (n=19),Rural,5.39E+02,BDL,BDL,BDL,BDL,BDL,2.73,BDL,BDL,BDL,BDL,BDL
7002CWKY,7002,House keys (n=19),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7003CNKY,7003,House keys (n=19),Rural,1.49E+03,BDL,BDL,BDL,BDL,BDL,3.17,BDL,BDL,BDL,BDL,BDL
7004CNKY,7004,House keys (n=19),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9001CNKY,9001,House keys (n=19),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9002CNKY,9002,House keys (n=19),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1001CWSL,1001,Soil (n=54),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1002CWSL,1002,Soil (n=54),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1006CWSL,1006,Soil (n=54),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1007CWSL,1007,Soil (n=54),Urban,1.25E+04,BDL,BDL,BDL,BDL,BDL,4.1,BDL,BDL,BDL,BDL,BDL
1010CWSL,1010,Soil (n=54),Urban,2.95E+04,BDL,BDL,BDL,BDL,BDL,4.47,BDL,BDL,BDL,BDL,BDL
1011CWSL,1011,Soil (n=54),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1013CWSL,1013,Soil (n=54),Urban,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1015CWSL,1015,Soil (n=54),Urban,4.99E+04,BDL,BDL,BDL,BDL,BDL,4.7,BDL,BDL,BDL,BDL,BDL
1020CNSL,1020,Soil (n=54),Urban,4.72E+04,BDL,BDL,BDL,BDL,BDL,4.67,BDL,BDL,BDL,BDL,BDL
1021CNSL,1021,Soil (n=54),Urban,5.80E+03,BDL,BDL,BDL,BDL,BDL,3.76,BDL,BDL,BDL,BDL,BDL
1022CNSL,1022,Soil (n=54),Urban,1.76E+04,BDL,BDL,BDL,BDL,BDL,4.25,BDL,BDL,BDL,BDL,BDL
1023CNSL,1023,Soil (n=54),Urban,9.23E+06,BDL,BDL,BDL,3.51E+04,BDL,6.97,BDL,BDL,BDL,4.55,BDL
2001CWSL,2001,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2004CWSL,2004,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2012CWSL,2012,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2013CWSL,2013,Soil (n=54),Semi-rural,3.22E+04,BDL,BDL,BDL,BDL,BDL,4.51,BDL,BDL,BDL,BDL,BDL
2015CWSL,2015,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2016CWSL,2016,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2018CWSL,2018,Soil (n=54),Semi-rural,9.44E+04,BDL,BDL,BDL,BDL,BDL,4.98,BDL,BDL,BDL,BDL,BDL
2021CNSL,2021,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2022CNSL,2022,Soil (n=54),Semi-rural,3.13E+04,BDL,BDL,BDL,BDL,BDL,4.5,BDL,BDL,BDL,BDL,BDL
2023CNSL,2023,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2025CNSL,2025,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2026CWSL,2026,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2027CNSL,2027,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2028CNSL,2028,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2029CNSL,2029,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2030CNSL,2030,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2031CNSL,2031,Soil (n=54),Semi-rural,3.92E+04,BDL,BDL,BDL,BDL,BDL,4.59,BDL,BDL,BDL,BDL,BDL
2032CNSL,2032,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2033CNSL,2033,Soil (n=54),Semi-rural,1.55E+04,BDL,BDL,BDL,BDL,BDL,4.19,BDL,BDL,BDL,BDL,BDL
2034CNSL,2034,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2035CNSL,2035,Soil (n=54),Semi-rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3001CWSL,3001,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3003CWSL,3003,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3005CWSL,3005,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3007CWSL,3007,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3008CNSL,3008,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3009CNSL,3009,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
3010CNSL,3010,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4002CWSL,4002,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4004CNSL,4004,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4005CNSL,4005,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4006CNSL,4006,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5001CWSL,5001,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5002CWSL,5002,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7002CWSL,7002,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7003CNSL,7003,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
7004CNSL,7004,Soil (n=54),Rural,7.71E+03,BDL,BDL,BDL,BDL,BDL,3.89,BDL,BDL,BDL,BDL,BDL
9001CNSL,9001,Soil (n=54),Rural,1.65E+05,BDL,BDL,BDL,BDL,BDL,5.22,BDL,BDL,BDL,BDL,BDL
9002CNSL,9002,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9003CWSL,9003,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9005CWSL,9005,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
9006CWSL,9006,Soil (n=54),Rural,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1001CWTY,1001,Toy (n=31),Urban,1.93E+05,BDL,BDL,BDL,BDL,BDL,5.29,BDL,BDL,BDL,BDL,BDL
1002CWTY,1002,Toy (n=31),Urban,1.12E+04,BDL,BDL,BDL,BDL,BDL,4.05,BDL,BDL,BDL,BDL,BDL
1006CWTY,1006,Toy (n=31),Urban,1.76E+04,BDL,BDL,BDL,BDL,BDL,4.25,BDL,BDL,BDL,BDL,BDL
1007CWTY,1007,Toy (n=31),Urban,7.65E+05,BDL,BDL,BDL,BDL,BDL,5.88,BDL,BDL,BDL,BDL,BDL
1010CWTY,1010,Toy (n=31),Urban,7.12E+05,BDL,BDL,BDL,BDL,BDL,5.85,BDL,BDL,BDL,BDL,BDL
1011CWTY,1011,Toy (n=31),Urban,7.88E+05,BDL,BDL,BDL,BDL,BDL,5.9,BDL,BDL,BDL,BDL,BDL
